sha256,num_files,num_unique_classes,class_ids,cross_class_duplicate,already_leaks_in_old_split,paths
00086c773ac496b6390e12e9c4a3d34488d9c5f6eddbb988d119636c074d27b8,1,1,7,0,0,Train/7/00025_00037_00018.png
000cadf7b7d3699a9cc43f2f71c869653115d83173fa333d92ea967deecf58cf,1,1,7,0,0,Train/7/00025_00038_00004.png
000f4124985d54f3c415bf3a70b1909027b54f8386413743bb769d1de3d31a9d,1,1,14,0,0,Train/14/00038_00009_00016.png
0014a6d3f36b6f3822b7d7f2116660d8ff55ebb49cca23d049dc19b885eac23e,1,1,7,0,0,Train/7/00025_00002_00009.png
00184e05d3de4f7302818f478cd545eb593e21c5550a11641eaa4f17d9d53651,1,1,9,0,0,Train/9/00028_00015_00025.png
001d33515a037e1b160f0756d515744389d50d2c1439a24a724778e300b8742b,1,1,14,0,0,Train/14/00038_00041_00023.png
001e991853087a9a7cdfe9f43badb2484651d99441cc05f17e839c47a42a5e82,1,1,13,0,0,Train/13/00035_00020_00016.png
0023682a661ea16d2d663002f8803c78aa0edd30e59f909db262ae88c6fc0e60,1,1,33,0,0,Train/33/00001_00066_00005.png
0025c16cc56cdaf1f04b0c092a660d469c1db9c70c7dc6da0fc6d7e9ac8666c2,1,1,6,0,0,Train/6/00023_00010_00014.png
0026ca681c051c58937189c72f8b84bfe2f6867655fd4cd8ee6bf4bff27c6740,1,1,2,0,0,Train/2/00017_00008_00017.png
0028c23d13d5b30c1e9b28a8f2e60a3f1a213e912302f5fa933d776e60a9ba1b,1,1,12,0,0,Train/12/00034_00004_00029.png
002f997facefebd24c639be76a2dedcfdcad912e28a61a472bec0ba4f624f1c2,1,1,5,0,0,Train/5/00021_00006_00005.png
0030808d115967513f0b3658c008fcbbf9356a8b68d09f6ef2bdae41877e34ae,1,1,13,0,0,Train/13/00035_00012_00028.png
00332b939c42dbcf88496f6205ef2305f8d4a1e4723dab7efa6e661952e38da6,1,1,16,0,0,Train/16/00040_00009_00018.png
003598d02b50d360b61fbcb5fddc2c8fd20a114b0d8dc7c1a2b8340277909e89,1,1,33,0,0,Train/33/00001_00051_00016.png
0037ddbf9cffeaf68e5cf07c47b63be2dd2674470ac620f32965861b2520dec1,1,1,14,0,0,Train/14/00038_00005_00019.png
003980e4315295c613092fe6b2eb4071900f42f8ce4ea428e70a3fb4fbccc739,1,1,14,0,0,Train/14/00038_00044_00011.png
00434992998c35ac592360a77501c647390cd74816ab4d17eae87780a2564ec6,1,1,14,0,0,Train/14/00038_00018_00004.png
00492bb0291d279c878351fc1bc155980383ef20e91e4dd463094c7b8a5c0d5c,1,1,33,0,0,Train/33/00001_00007_00013.png
004994e872ec02ab90d2aecac118ebb39cd5fcc5b678ce217cf14f8bc9cd3c81,1,1,14,0,0,Train/14/00038_00000_00011.png
004be3a50ad13e8fd74e90eea919c60989a938e9afd83c872aa41605d223b337,1,1,6,0,0,Train/6/00023_00003_00007.png
005464ec98b15aff154d7f6457750d08bc499a622745233644ece48ed8c55cfa,1,1,14,0,0,Train/14/00038_00050_00014.png
0055170fdfcb011173511c5d49e34ec72eb20119bd5999615013eadb590a89a7,1,1,10,0,0,Train/10/00029_00003_00029.png
005c1b9c909368d224c839749a5429896ae2cb9935df1b7563a920f625655723,1,1,16,0,0,Train/16/00040_00011_00009.png
00660675db23f67bd179983f1ad38c422226dfc01d9eaa4165f90bad01a2ff13,1,1,11,0,0,Train/11/00033_00009_00023.png
00670d88f12e7836fb1c435251e7547acda218b77d4943cacbaa4c110904c5cd,1,1,7,0,0,Train/7/00025_00031_00024.png
006ebb3a58d36b01e4122ee521ee4d4fa8346ea53d0fa313d48dcc950e9d8e97,1,1,12,0,0,Train/12/00034_00009_00002.png
0074955ad1dd69f58ce66e0646222b93f99efb2cb60ac468ab7cfcc1c05b36c4,3,1,44,0,0,Train/44/Screenshot 2026-05-01 002005 copy 2.png|Train/44/Screenshot 2026-05-01 002005 copy.png|Train/44/Screenshot 2026-05-01 002005.png
007976015c61cd6db68fa7c0b29db16b6109f9cc99666b765b046d627c157554,1,1,14,0,0,Train/14/00038_00030_00011.png
007a1e57a8a997d0427fc90ef00f322a90cfc298681edeb2cfd636d0df4bbfae,1,1,7,0,0,Train/7/00025_00009_00029.png
0086bd7338387925efe5198d5db54819fcd95891cdb1f535f3e7c315b5bcd0be,1,1,13,0,0,Train/13/00035_00003_00006.png
008d711675616d1b00316df08619a697b68e1311c2f25934c849a7f8979dc005,1,1,33,0,0,Train/33/00001_00013_00024.png
008e7fd2631f9c6bf8dbd8c5dc5fa0e2e51aeaca533723c9ded990e93bf3f758,1,1,14,0,0,Train/14/00038_00025_00004.png
008ecd731beaed842d262bd920c77662a1adeed405bc59e11cbafcf95ff02f3a,1,1,11,0,0,Train/11/00033_00006_00008.png
009225ade84027d0db9343d4134905141e59265a1170b79b069c0980096cb165,1,1,14,0,0,Train/14/00038_00007_00013.png
0092fab308b3d3d49d947346e29a85320fe6f280fff489eb46bfea58fbe0cf63,1,1,14,0,0,Train/14/00038_00018_00005.png
00a45525a50ef6c75a5785cbfdc546a75b5bd6d0e0f49f6ba963ae97a69db900,1,1,7,0,0,Train/7/00025_00049_00025.png
00a91808541a8026e905e843229069356c76c2e7432e1cd02b4840bdf8955da0,1,1,14,0,0,Train/14/00038_00017_00000.png
00aa9cbcec3fc0c3442baa58209ac4a1da6999dd9dd93a92a6ecd080c0fcff65,4,2,5;18,1,0,Train/5/005_0096.png|Train/5/005_1_0096.png|Train/18/005_0096.png|Train/18/005_1_0096.png
00aaac7f49abfc085bcb3ed90a9500f749d424b0e736bd1b6d7f1e4fec0332a4,1,1,2,0,0,Train/2/00017_00020_00006.png
00ae30611cbc6efbe94747bcf6c7673369de5fcbf86025bb364de700588b26ec,1,1,7,0,0,Train/7/00025_00034_00012.png
00ae5a9e2ada41ab2527fd58fff7810d260332f8bc2e069bd606505a56fd1de0,1,1,2,0,0,Train/2/00017_00032_00024.png
00aeb80d76f81f6c916aedc0127f43653ad0d26899e77bfcd24f14eea8374bd0,1,1,13,0,0,Train/13/00035_00019_00011.png
00afbb0409b7266b94213aa0604933d36d2f8eaaba79fea40e1058645e8e4023,1,1,14,0,0,Train/14/00038_00042_00014.png
00b85e2f2c69e3030fc4c5b571cbac48fd1fdf6359fa8dd548d00c569f77eca5,1,1,2,0,0,Train/2/00017_00012_00027.png
00b87993e2f805e8e22f5e278db52b78dd4c5f2903059f9dd62729e247f32dc6,1,1,14,0,0,Train/14/00038_00041_00001.png
00bb31dc134f17b4d8fad00aef1c4bef59b871b8dffd7782e36c4d515606cec0,1,1,1,0,0,Train/1/00014_00004_00013.png
